Question,Answer
What is the minimum qualification for LLM  ,BBA LLB (Hons.) / BA LLB (Hons.) / B.Com. LLB (Hons.) / BCA LLB (Hons.) / B.Tech. LLB / LLB degree with a minimum CGPA of 5.0 / 50%.
What is the eligibility for MBA Strategy Focus  ,Bachelor?s degree in any discipline with a minimum of 50% marks.
Are final-year students eligible to apply for MBA Strategy Focus  ,"Yes, final-year students can apply but must submit the original certificate of graduation upon joining."
Is work experience mandatory for MBA Strategy Focus  ,"No, work experience is not compulsory but desirable."
What are the language requirements for MBA Strategy Focus  ,"Candidates should have good communication skills  and   should be able to converse, read,  and   write in English."
What is the eligibility criteria for M.Sc.  ,Bachelor?s degree in the relevant programme of study.
How is admission for M.Sc. granted  ,Based on performance in the qualifying examinations  and   interview.
What is the eligibility for M.Com.  ,Bachelor?s Degree in Commerce with a minimum CGPA of 5.0 / 50%.
What is the eligibility for MA Islamic Studies  ,"Any UG Degree with Quran reading ability, basic Islamic knowledge,  and   passing an entrance test."
What are the eligibility criteria for NRI admissions  ,NRI candidates must have completed their qualifying examination equivalent to the Indian system with a minimum percentage required for the respective program.
What documents are required for NRI admission  ,"Required documents include passport, visa, proof of NRI status, academic transcripts,  and   equivalency certificate."
What are the eligibility criteria for Foreign National students  ,Foreign Nationals should have completed their qualifying examination recognized by the Association of Indian Universities (AIU) with the required eligibility criteria.
What is the application process for NRI/Foreign National students  ,"The application process involves online registration, submission of required documents,  and   payment of application fees."
What is the admission fee for NRI students  ,The admission fee varies by program. Please check the official website for the latest fee structure.
What is the admission fee for Foreign National students  ,The admission fee for Foreign Nationals depends on the program chosen. Refer to the admissions section on the official website.
Are there any scholarships for NRI students  ,"Yes, there are scholarships available based on merit  and   financial need for NRI students."
Are there any scholarships for Foreign National students  ,"Yes, merit-based  and   need-based scholarships are available for Foreign National students."
What is the deadline to apply for NRI admissions  ,The deadline is typically announced on the official website. Ensure to apply before the given date.
What is the deadline to apply for Foreign National admissions  ,The application deadline is mentioned in the admission notification. Please check the university?s website for updates.
How can I apply for NRI/Foreign National admissions online  ,NRI/Foreign National students can apply online through the university's admission portal.
Is there an entrance exam for NRI students  ,"No, NRI students are admitted based on their qualifying examination scores."
Is there an entrance exam for Foreign National students  ,No entrance test is required. Admission is based on academic qualifications  and   eligibility criteria.
What are the available undergraduate programs for NRI students  ,"Undergraduate programs include B.Tech, BBA, B.Sc.,  and   others. The full list is available on the website."
What are the available postgraduate programs for NRI students  ,"Postgraduate programs include M.Tech, MBA, M.Sc.,  and   others. The full list is available on the website."
What are the available undergraduate programs for Foreign National students  ,"Foreign Nationals can apply for undergraduate courses such as B.Tech, BBA, B.Sc., etc."
